TIME,PROFIT,SYMBOL,EXCHANGE,MARKET_CAP,Basic earnings per share,Other expenses,Financial expenses,VolumeARG,Financial income,General and administration expenses,Short-term prepaid expenses,Selling expenses,Total Other Current Assets,Profit after tax,Short Term Financial Investments,Short term prepayments to suppliers,Current income tax,Short-term advances from customers,Net operating profit,Cash and cash equivalents,Short-term trade payables,Taxes and other obligations to the State Budget,Gross profit,Other short-term payables,In which: Loan interest expenses,Sales deductions,Short-term accrued expenses,LIABILITIES,Tangible fixed assets Accumulated depreciation
90,1.0,NOT_INVEST,HOSE,8873959890011.303,231283.59439677146,8469287792.325686,50723319143.0548,885709.1225573492,63739016829.60422,58347980647.846924,42800603699.017136,89662701278.50679,197348370873.54898,146747990169.70956,510053744715.6443,294710198545.13214,38626530958.381905,454295780847.62335,179534184506.27795,677847487646.6327,589381071519.8958,109754022703.90654,310509490106.0477,430792962220.47156,35869677880.851456,12431290007.137356,303705368176.14966,4984088780925.669,-1218413611377.2114
90,0.0,AAA,HOSE,4893113548800.0,0.0,3926631782.0,59187504578.0,5156710.0,62151890682.0,60039573317.0,21319751410.0,178910187534.0,202408720201.0,92404767028.0,461156000000.0,294306624209.0,23112399121.0,139711640962.0,115482948891.0,1018940128519.0,979407982524.0,29436223748.0,343029980637.0,281661263311.0,35891150019.0,3873387481.0,18703434834.0,5338776782033.0,-1579763758047.0
90,0.0,AAT,HOSE,848559803700.0,1384.0,157628799.0,5314786832.0,1027330.0,92411942.0,2962135792.0,0.0,360646762.0,3043446021.0,88324143919.0,1010230000.0,205022861402.0,22120443179.0,11942208533.0,110602215897.0,33280052512.0,14104686682.0,22533050802.0,119147373341.0,2649353.0,5314786832.0,0.0,0.0,342890564234.0,-181320178467.0
90,0.0,ABS,HOSE,945130955700.0,0.0,693157891.0,11417120793.0,737770.0,86413695.0,2231751442.0,193606617.0,1821692842.0,513441068.0,8293886177.0,340200000000.0,27485847620.0,2395996322.0,11177624800.0,11146270575.0,21600726861.0,173849499891.0,20442941984.0,26530421957.0,1491119916.0,0.0,0.0,2410693775.0,728187837676.0,-7332758665.0
90,0.0,ACC,HOSE,1910999872600.0,258.0,92347.0,5818816771.0,324230.0,27714472318.0,4972930996.0,2591822826.0,1597213232.0,2697063218.0,26861158531.0,0.0,98499452370.0,6790567210.0,86576467690.0,28714128868.0,773772011860.0,88285337353.0,8608350173.0,13388617549.0,87268391654.0,5818816771.0,0.0,11738084706.0,854569570846.0,-115852877775.0
90,0.0,ACL,HOSE,1040799644250.0,673.0,1132180740.0,10320947567.0,309440.0,3054673596.0,12202785278.0,1031089822.0,15691815861.0,75625251459.0,33745927498.0,0.0,8748696188.0,5825485123.0,27235957013.0,41393354517.0,80861120829.0,32585248333.0,14263031108.0,76554229627.0,4100863487.0,10220721346.0,3327546050.0,9132208348.0,720897100448.0,-430395475270.0
90,0.0,ADG,HOSE,827386476800.0001,1154.0,502583984.0,2138620791.0,83740.0,5962188623.0,6119478505.0,297251362.0,6307466547.0,749625554.0,22955915437.0,225187771787.0,694707881.0,2562076361.0,18117286229.0,19529385614.0,19813025679.0,32810269053.0,5556668679.0,28609176860.0,786313086.0,2146007537.0,0.0,105427810.0,180564481545.0,-7993566301.0
90,0.0,AGG,HOSE,4183659152750.001,1211.0,11007027534.0,103061248044.0,144000.0,79493714228.0,33106918175.0,686104835548.0,253120324520.0,688806341775.0,170244268669.0,116879987152.0,37751014475.0,180130762283.0,3726129341042.0,190671365292.0,1662251539613.0,507915122712.0,393315328779.0,530697278656.0,202097725148.0,58641504062.0,0.0,461599493878.0,9566314455971.0,-11647434511.0
90,0.0,AGM,HOSE,527800000000.0,-539.0,386546516.0,49760185064.0,51580.0,42404279061.0,6626061305.0,4177593658.0,53476778520.0,30268132518.0,-9817630069.0,75740000000.0,336443952646.0,-2254990396.0,6662119735.0,-11937625941.0,65305136723.0,33954280927.0,747537081.0,52417238628.0,5748503538.0,12972816655.0,948049540.0,3829510064.0,1420944545276.0,-208649662058.0
90,0.0,AMD,HOSE,506865109400.00006,-145.0,265002899.0,5665824699.0,1700900.0,4694510209.0,29083729949.0,2167908917.0,746785330.0,12364577402.0,-23994436902.0,0.0,241129796993.0,414846.0,136159159853.0,-23729021491.0,2329820136.0,32203210127.0,6162099994.0,7072808278.0,74505230323.0,5573174103.0,0.0,2293818352.0,491233580746.0,-135378974659.0
90,0.0,ANV,HOSE,6586325318750.0,1893.0,1348417818.0,45130634729.0,1205260.0,16591231477.0,41363027277.0,19393576655.0,113203829899.0,85856344448.0,240687503919.0,845680000000.0,113099420519.0,38995676979.0,23535326033.0,271489377150.0,14381702594.0,403473367190.0,86223152698.0,454693006509.0,21093691785.0,24311534118.0,11312062857.0,18695023612.0,2771764162528.0,-1071090939443.0
90,0.0,APH,HOSE,3548516099400.0,0.0,6538464530.0,87137328852.0,2676310.0,77766533989.0,100130131260.0,38445316567.0,224693216627.0,265756289499.0,84570635996.0,769456000000.0,351653471675.0,28694225532.0,215803419777.0,114015835387.0,1389968289466.0,1109873179623.0,41894711199.0,444287885113.0,339562303704.0,60494915131.0,5288670845.0,35791644457.0,6989568124052.0,-1735204834006.0
90,0.0,ASM,HOSE,5849775379400.001,0.0,2407888022.0,136100890373.0,3360900.0,67166024897.0,54787578904.0,8296209007.0,140391445680.0,61288779694.0,352738199161.0,1463372582530.0,2444909075823.0,34282858011.0,628079538039.0,371600425404.0,782739356254.0,786544579346.0,163357816359.0,635714315464.0,137758361893.0,102058267791.0,12720582382.0,35211402470.0,10798239148776.0,-1144754803874.0
90,0.0,AST,HOSE,2691000000000.0,306.0,116412217.0,1794733278.0,32160.0,1780790170.0,26152102707.0,2924362306.0,28942836646.0,12114294751.0,16598878422.0,107860800000.0,10121718280.0,0.0,5520988918.0,16014438435.0,57095845292.0,25610871298.0,1612583580.0,71819692803.0,2317292806.0,-729893642.0,0.0,6972834141.0,106226210481.0,-152635164615.0
90,0.0,BAF,HOSE,4520880000000.0,0.0,0.0,0.0,2652690.0,0.0,0.0,9501959735.0,0.0,13058089597.0,0.0,0.0,471679648219.0,0.0,94500331195.0,0.0,306275654822.0,2679755378276.0,39437624041.0,0.0,19178285295.0,0.0,0.0,3629908235.0,3273159713031.0,-102479245832.0
90,0.0,BCE,HOSE,289500000000.0,0.0,1560143380.0,2258351666.0,123220.0,295907525.0,9838201380.0,1164246934.0,0.0,29416836526.0,-13153152258.0,0.0,3012586275.0,0.0,13026764826.0,-11767310842.0,85123057561.0,178164283061.0,23988443.0,33334679.0,31379695649.0,2258351666.0,0.0,9100642845.0,401417940840.0,-45576300209.0
90,0.0,BCG,HOSE,8722195619700.001,0.0,6465703251.0,703373847765.0,4972390.0,929685566236.0,119642804544.0,120933484373.0,35351423874.0,423979205220.0,354764131391.0,1883560975541.0,3453863974631.0,119995008230.0,2532081570015.0,371520254825.0,832277260522.0,1312863244431.0,424583603829.0,268716244688.0,2313006346506.0,407623975286.0,31349346063.0,330085861737.0,30659861338284.0,-973809579374.0
90,0.0,BCM,HOSE,81040500000000.0,0.0,32520152996.0,157986558282.0,259850.0,69860810720.0,10666188200.0,22063314804.0,107830399293.0,25155349747.0,415321684171.0,15000000000.0,181243921694.0,91767921043.0,3768627211578.0,536308274180.0,1973633795551.0,437722168643.0,51110138658.0,742930609235.0,798869901292.0,157986558282.0,418227247.0,7798045096421.0,27336567080896.0,-832196112266.0
90,0.0,BFC,HOSE,1414907826750.0,859.0,167735219.0,27114340123.0,201820.0,3506866662.0,36153707143.0,6381556173.0,43955263214.0,54851401092.0,75409466366.0,5000000000.0,30453169983.0,11368887774.0,39765375360.0,98660266678.0,174107432028.0,452314064852.0,139793551714.0,202376710496.0,29247037582.0,21150425475.0,41960833271.0,137031341930.0,3095904909381.0,-658306866674.0
90,0.0,BKG,HOSE,201600000000.0,312.0,55166927.0,705819936.0,188900.0,1601613489.0,2210533977.0,336180709.0,1056863493.0,4188031559.0,10013130060.0,0.0,374396884608.0,2302364605.0,5313942263.0,12370609801.0,42330288872.0,13947909294.0,6446665611.0,14742213718.0,2637181503.0,705819936.0,295485.0,1911518849.0,55959285832.0,-22524596622.0
90,0.0,BMC,HOSE,210055078500.0,790.0,0.0,5556600.0,78330.0,2376551345.0,3974857250.0,336957828.0,3929502091.0,13830978065.0,9799797047.0,0.0,712960000.0,1998028093.0,1701034000.0,11797825140.0,136077797058.0,908049871.0,21391465.0,17331189736.0,3051268050.0,0.0,0.0,9673595529.0,34187681763.0,-184670920171.0
90,0.0,BMP,HOSE,5083564249800.0,1774.0,1753961.0,41441063743.0,37510.0,12157575357.0,35394280121.0,5654910820.0,144959407614.0,43433908517.0,145243612706.0,745000000000.0,146158551213.0,35825078239.0,8184511192.0,180605078780.0,275419240323.0,175698895632.0,37362281648.0,390915611964.0,2937579766.0,-23600946.0,3233564210.0,107080550389.0,489644728283.0,-1590932423982.0
90,0.0,BWE,HOSE,9443434000000.0,901.0,7210408791.0,86767669116.0,191240.0,34159081149.0,53619506608.0,10505459078.0,78754771790.0,23754231444.0,210806870621.0,352812000000.0,119730613146.0,18011895566.0,144845368589.0,218077723286.0,278206145185.0,195925312193.0,37173288970.0,386282948673.0,28689357883.0,35911615387.0,0.0,76317597876.0,4921012746564.0,-3932892530023.0
90,0.0,C32,HOSE,401304871500.0,397.0,983131092.0,6310056425.0,43770.0,1706663138.0,3664511144.0,245869152.0,5345852986.0,3712038080.0,6685936676.0,133212551737.0,34285649180.0,1532235539.0,22745892089.0,7522007341.0,112088437221.0,20878430775.0,1514753459.0,20437652535.0,7195897457.0,3506576780.0,0.0,36410961660.0,414599172670.0,-131457275587.0
90,0.0,C47,HOSE,390918956800.0,237.0,1467592105.0,13056710514.0,284390.0,7842621.0,7865879364.0,6903201590.0,0.0,8384555003.0,7011098661.0,0.0,65957594249.0,1921257696.0,18262679484.0,10080983988.0,24910330629.0,137081542130.0,48512944609.0,30995731245.0,35767489126.0,12475920326.0,0.0,22383325042.0,1257149069011.0,-840354422658.0
90,0.0,CDC,HOSE,408990117600.0,135.0,461794153.0,5898389097.0,104750.0,4655213489.0,11025216418.0,310029094.0,1156627512.0,13105502323.0,3581124273.0,369390973430.0,124259348847.0,1382427673.0,210057312439.0,3991808499.0,73888964486.0,130380200735.0,9668631465.0,17416828037.0,45273570202.0,2110616300.0,43999.0,91722454957.0,1224661664427.0,-98831416924.0
90,0.0,CIG,HOSE,224564422640.00003,0.0,1157129317.0,77972444.0,168640.0,26342.0,1527442959.0,2042718.0,0.0,1724655287.0,-1615697598.0,0.0,4038770930.0,0.0,11239436165.0,-3323564480.0,411752282.0,130841732704.0,29071698153.0,-1718175419.0,191554584702.0,77972444.0,0.0,6375000000.0,554702936619.0,-15291607668.0
90,0.0,CII,HOSE,5361591580000.0,96.0,4233025021.0,320984355668.0,5719450.0,199834135235.0,106447668901.0,30976128671.0,18635542142.0,187671865671.0,126841236408.0,664098257923.0,310050683551.0,44328992361.0,2799705172388.0,183239874155.0,411843159245.0,494043984055.0,70256170300.0,452999104308.0,1947619070120.0,266328898744.0,52590556211.0,112711089138.0,21754140769709.0,-836212828948.0
90,0.0,CKG,HOSE,1801275444800.0,809.0,537591234.0,5408861631.0,1706110.0,1235632202.0,30525084563.0,370444406.0,8112786952.0,3407098406.0,70075663136.0,500000000.0,64140841412.0,15120644538.0,52950752745.0,81964369027.0,70808341922.0,229252627022.0,27595069586.0,124775469971.0,255751174085.0,5404964565.0,1725898309.0,249695504948.0,3531569077293.0,-89361372046.0
90,0.0,CMX,HOSE,1599814143000.0,0.0,3621696650.0,34282731174.0,1331140.0,12190310504.0,14847267126.0,1652264707.0,37160937006.0,20801087496.0,46441513058.0,200000000000.0,207020253350.0,6152752122.0,35700782841.0,55975639729.0,33617295799.0,241802749867.0,19492235311.0,130076264531.0,106152885771.0,13509324156.0,13664327482.0,9280039341.0,1508960203151.0,-337603863290.0
90,0.0,CNG,HOSE,985500000000.0,0.0,30464281.0,1161570628.0,256330.0,1736886674.0,0.0,10699403253.0,28033718902.0,10699403253.0,37132964343.0,34288000000.0,5518206772.0,14421311139.0,0.0,45847275432.0,388356992794.0,615582857672.0,18472816877.0,86564777808.0,70407295564.0,1161570628.0,0.0,59229486489.0,886785408272.0,-870720017444.0
90,0.0,CRC,HOSE,234000000000.0,232.0,24840583.0,4290971366.0,539170.0,1884086.0,1111622094.0,287127280.0,787234970.0,25749324961.0,7106398752.0,500000000.0,108788519527.0,294341180.0,8313278384.0,7424807525.0,10876254021.0,14101606207.0,709187553.0,13612751869.0,1640857373.0,4290800073.0,0.0,7945205.0,297682078450.0,-24924682185.0
90,0.0,CRE,HOSE,13446683228000.0,422.0,2007852816.0,38373539579.0,255190.0,37158312360.0,69558306147.0,31996561926.0,73894792910.0,33362491143.0,89000616621.0,785931070277.0,198380513598.0,18818472390.0,61511058796.0,109607558149.0,124518823978.0,129446928166.0,190266669751.0,254275884425.0,294861224901.0,38373539579.0,0.0,340385645817.0,3402352554246.0,-51080703304.0
90,0.0,CSV,HOSE,2015520000000.0,2585.0,14059094.0,2460178994.0,395150.0,5608221868.0,12573614848.0,10236833237.0,21880901427.0,59181203266.0,128626220400.0,190000000000.0,10793937959.0,32735898960.0,2514354528.0,160929073700.0,336494295697.0,160862643071.0,45795821132.0,192235547101.0,67723380731.0,537725531.0,33842977.0,18416571902.0,391370266517.0,-934998581927.0
90,0.0,CTD,HOSE,4709327049000.0,-323.0,3971588476.0,47468653519.0,851890.0,152296695446.0,360485210814.0,7797460730.0,0.0,430212419393.0,-23832756130.0,2784460086136.0,415360852829.0,44098488423.0,1888179062343.0,-45828001200.0,913484130428.0,2608292638066.0,29540056159.0,215689161599.0,12764645153.0,19068338308.0,1739604226.0,1998084700396.0,8258170321487.0,-616534252278.0
90,0.0,CTF,HOSE,1566166376400.0,311.0,388022279.0,10344398720.0,973810.0,7648701261.0,32676281172.0,9720359719.0,64721254444.0,11071120898.0,23823302210.0,0.0,275005727482.0,5031138445.0,71975744207.0,19577068786.0,49682729942.0,190540592574.0,10680136422.0,119670301861.0,71716441403.0,10344398720.0,3145523930.0,9833062214.0,1218238350121.0,-53566298928.0
90,0.0,CTI,HOSE,852139953350.0,426.0,116871329.0,57268181379.0,402060.0,185702953.0,22123063092.0,3248705883.0,1866914151.0,20141507837.0,27634079377.0,0.0,81840963372.0,2882099956.0,39765687312.0,32281464481.0,144354940042.0,103310988518.0,10315530474.0,113353920150.0,45438718172.0,49008395268.0,57927560.0,39372101490.0,3255024503373.0,-282877863261.0
90,0.0,CTR,HOSE,7949910747500.0,1072.0,24152141.0,1355813734.0,292620.0,1726279309.0,35344232603.0,46403097775.0,0.0,48036530060.0,102806110690.0,100000000000.0,129951201357.0,24777575639.0,358423914381.0,128004482936.0,609284732389.0,405450645034.0,66166836643.0,162978249964.0,170389803158.0,1340380317.0,0.0,764946997726.0,2927672148148.0,-321290209102.0
90,0.0,D2D,HOSE,1248214357500.0,0.0,0.0,0.0,137160.0,4792120554.0,6340098236.0,3625540699.0,0.0,58443344051.0,767028363.0,270000000000.0,20163820841.0,0.0,2487285234.0,615746203.0,54237098255.0,10340827668.0,0.0,2163723885.0,2551423321.0,0.0,0.0,31088604773.0,674559464582.0,-17776053890.0
90,0.0,DAG,HOSE,413362729820.00006,89.0,375190174.0,16585001181.0,387140.0,1483486730.0,7530988468.0,1283685629.0,2403648840.0,7838128597.0,5042335589.0,86383293289.0,197945237714.0,1710111909.0,87531087892.0,7076604658.0,51892708632.0,218670453585.0,9211603648.0,32112756417.0,8106102522.0,14071630078.0,2685610962.0,1197204006.0,1667626567457.0,-214708077488.0
90,0.0,DAH,HOSE,692124000000.0,0.0,0.0,-17250487375.0,413580.0,4361678374.0,0.0,0.0,283042550.0,0.0,18311276924.0,0.0,0.0,3633220408.0,0.0,21944497332.0,0.0,0.0,0.0,615374133.0,0.0,5026603062.0,0.0,0.0,0.0,0.0
90,0.0,DBC,HOSE,6485649821200.0,62.0,4297683577.0,56075123095.0,6762480.0,7749517886.0,94451834460.0,27282211898.0,107691521189.0,99122184843.0,14276018242.0,522993277731.0,266864439991.0,18781032716.0,611092846807.0,33281873989.0,180439135130.0,1588409136942.0,34931245303.0,284840365921.0,254297283957.0,48189854549.0,84487905014.0,88219077840.0,6852811452217.0,-2440875157153.0
90,0.0,DBD,HOSE,3072328096950.0,0.0,73342277.0,2479072171.0,44660.0,2352144981.0,26372423427.0,5832546864.0,76239861768.0,8824172920.0,59517776080.0,179490598779.0,13465177703.0,13247059001.0,7281372595.0,72278439950.0,48448630334.0,127551250225.0,26310467860.0,168766945753.0,4839043419.0,40995927.0,20508955280.0,35035489328.0,437137444891.0,-412599884137.0
90,0.0,DC4,HOSE,753760033599.9999,0.0,292588650.0,5872122938.0,145240.0,721934497.0,8698288377.0,388741606.0,2417237556.0,3821554598.0,-3651008643.0,10627048199.0,132111240976.0,375495033.0,28242774652.0,-4982330221.0,76040960353.0,75883286251.0,2233879480.0,11283384153.0,3356826400.0,1273683735.0,0.0,24354823965.0,319513995762.0,-69991208743.0
90,0.0,DCL,HOSE,1844286007500.0,357.0,50430407.0,8007891256.0,44160.0,13338465186.0,11108806714.0,1333356838.0,25718335121.0,19106784612.0,26048398899.0,792667945205.0,68926167258.0,7647257719.0,801941268.0,32630559874.0,119265689229.0,28003580581.0,13106352899.0,64127127779.0,1773666256.0,7908155279.0,4265790004.0,16060109468.0,633616229899.0,-446920114995.0
90,0.0,DCM,HOSE,17761370000000.0,1875.0,1451273148.0,13118466287.0,4003430.0,64962766951.0,183407538857.0,53041605292.0,121305958901.0,110573774475.0,1039099385617.0,5212000000000.0,111977907040.0,79224530593.0,256427178241.0,1100448695373.0,1996496136466.0,1035054387126.0,33814288293.0,1353317892467.0,343910522541.0,3377225061.0,61590115381.0,800145438982.0,3929884035465.0,-12420207607781.0
90,0.0,DGC,HOSE,33968569800000.0,4516.0,1450810712.0,46992598940.0,2582570.0,107767440464.0,17027455148.0,6086180679.0,173848596024.0,35680363053.0,1894441055988.0,5984348516910.0,48995529515.0,107858998762.0,29099386309.0,1995194089085.0,112409375410.0,227367966302.0,259759140628.0,2125295298733.0,14252903390.0,3398265462.0,0.0,31957061116.0,1902140796797.0,-1950928692183.0
90,0.0,DGW,HOSE,10583598262600.0,850.0,2006576085.0,24987945300.0,543270.0,29651346468.0,32897217330.0,14081075049.0,117019910873.0,162081874773.0,136921022792.0,0.0,43737555609.0,30032438268.0,97582099571.0,174634947495.0,156110755830.0,1739489579067.0,28815046584.0,320228149084.0,370075056678.0,22002449564.0,-85650124803.0,480670344120.0,3985510819328.0,-31289541854.0
90,0.0,DHA,HOSE,561063381300.0001,116.0,0.0,21024781795.0,97900.0,3616128665.0,4030695693.0,814339718.0,0.0,4111775753.0,1705785675.0,183923572807.0,6176257056.0,587023532.0,4184360918.0,2133079662.0,69560361382.0,10854540572.0,18654543503.0,23572428485.0,151064680.0,0.0,0.0,565536014.0,53159561943.0,-66639488689.0
90,0.0,DHC,HOSE,4255660918400.0,1590.0,663631732.0,10708734730.0,125090.0,2680027088.0,9894912929.0,8337844367.0,24827210498.0,30402776019.0,113567237744.0,19066794784.0,39491244429.0,17387573617.0,189424830.0,130182967989.0,137312977314.0,581331474779.0,21401698061.0,172778215667.0,73357941102.0,4317525216.0,46881494.0,1820212314.0,1234546848028.0,-510308763833.0
90,0.0,DHM,HOSE,312391991000.0,0.0,88833590.0,10065910014.0,331490.0,4929468.0,4490911966.0,69144028.0,152781135.0,1528351471.0,2040718314.0,54737515840.0,57432089558.0,510179579.0,6140190027.0,1987284989.0,5498025444.0,65671664194.0,1840346150.0,16691958636.0,586730243.0,1816111127.0,0.0,0.0,181550093560.0,-10782476799.0
90,0.0,DIG,HOSE,24851468796250.0,1629411216.0,288285954.0,125699893470.0,7631050.0,25737215121.0,41741369644.0,181674486578.0,14636874101.0,207157642745.0,81047552446.0,1080180232877.0,249606048710.0,15165614817.0,1644313544132.0,87301414437.0,1254033227915.0,257340914510.0,126327648804.0,242036849919.0,616305985876.0,116560141348.0,6384572774.0,194535228638.0,8283193345790.0,-330923799906.0
90,0.0,DLG,HOSE,1376824712000.0,-1043.0,2880313981.0,145243918473.0,2745940.0,71708100173.0,299886751009.0,123761314.0,2385836104.0,1216472431.0,-309222695208.0,64909350375.0,54231391227.0,5610675481.0,68397659985.0,-302174970589.0,89318511310.0,363886269551.0,80446971397.0,73829326140.0,571362136448.0,100684461986.0,-68643747.0,426842520907.0,4706262657932.0,-1474729237516.0
90,0.0,DPG,HOSE,3071228257500.0,1455.0,30781630.0,42822808782.0,994420.0,14623253808.0,20506680561.0,2375326057.0,10970155557.0,38162325322.0,132691644257.0,271826061600.0,91251909551.0,15581944920.0,705026563120.0,146313313519.0,1010312064722.0,300992531892.0,37844722882.0,205989704611.0,72283020252.0,42823726782.0,0.0,77002533379.0,4127732463791.0,-829979942726.0
90,0.0,DPM,HOSE,19018845036000.0,3183.0,86055438.0,21307483665.0,2621140.0,69017511748.0,113113526865.0,70393150755.0,236266934195.0,327599389545.0,1290759920885.0,4830000000000.0,145171001266.0,247730849302.0,123756191934.0,1629933616632.0,4798068973859.0,1284270455356.0,265965246098.0,1930127391382.0,115015657548.0,15759771999.0,37508685929.0,524666330406.0,3925807103546.0,-8906989899419.0
